"user_id","session_id","email","source","campaign","device","date","country","city","age","gender","loyalty_status","page_views","session_duration","bounce_rate","conversions","revenue","signup_date","last_purchase_date"
user_115,session_71474,john71@hotmail.com,Direct,black_friday,Mobile,"2025-05-28",ES,Unknown,63,Other,Unknown,3,"21.13 sec","53%",1.0,"1.38","2022-07-28","2023-03-07"
user_66,session_24293,Unknown,Social media,newsletter,Tablet,"2024-11-10",FR,New Danielfurt,24,Male,Unknown,4,"14.74 sec","43%",0.0,"16.97","2022-07-27",""
user_492,session_26932,Unknown,Social media,retargeting,Tablet,"2025-07-11",IT,Donaldland,39,Male,New,4,"245 sec","0.47%",1.0,"20.49","2022-08-24",""
user_36,session_59856,rebecca153@yahoo.com,Referral,retargeting,Desktop,"2025-10-23",FR,Cynthiaborough,58,Other,VIP,2,"473.08 sec","74%",2.0,"39.05","2022-12-25","2024-02-06"
user_79,session_63476,heather197@gmail.com,Direct,Unknown,Mobile,"2024-11-08",Unknown,Archerland,23,Male,New,8,"348.3 sec","19%",1.0,"27.13","2023-09-11","2025-08-12"
user_14,session_28030,joshua11@outlook.com,Unknown,Unknown,Desktop,"2025-09-16",IT,Joshuafurt,26,Unknown,New,9,"8.01 sec","14%",1.0,"27.37","2024-01-25","2025-09-28"
user_81,session_57419,eric173@yahoo.com,Direct,retargeting,Mobile,"2025-08-20",FR,Bretttown,65,Other,New,8,"191.83 sec","68%",0.0,"31,83","2022-05-19","2023-10-14"
user_448,session_20589,Unknown,Google,summer_sale,Desktop,"2025-01-09",FR,New Jenniferton,27,Male,New,3,"12.92 sec","19%",3.0,"82,73","2023-10-31","2024-05-09"
user_334,session_97080,michele145@hotmail.com,Referral,retargeting,Unknown,"2025-05-24",FR,Lake Sharonshire,46,Unknown,VIP,3,"166.13 sec","41%",0.0,"79.26","2022-08-18","2024-06-16"
user_224,session_83259,erica71@hotmail.com,Social media,newsletter,Unknown,"2025-05-22",US,Port Crystal,41,Unknown,Unknown,3,"201.8 sec","63%",1.0,"11,26","2024-07-19","2025-08-25"
user_151,session_67637,Unknown,Social media,newsletter,Tablet,"2025-09-08",CA,West Anne,27,Female,Returning,5,"104.37 sec","62%",2.0,"16.98","2022-10-29","2024-07-04"
user_300,session_48680,christian9@yahoo.com,Email,black_friday,Unknown,"2025-03-01",ES,Lake Joyce,36,Unknown,Unknown,5,"61.32 sec","72%",0.0,"49.0","2022-02-25","2023-09-06"
user_488,session_41348,alison121@hotmail.com,Social media,Unknown,Desktop,"2025-10-12",FR,Nelsonhaven,38,Female,VIP,1,"17.58 sec","44%",0.0,"33.57","2024-03-21","2026-04-10"
user_240,session_66450,anita40@outlook.com,Social media,Unknown,Tablet,"2025-04-29",IT,Jackstad,21,Unknown,Unknown,7,"344.51 sec","86%",0.0,"27,98","2022-11-03","2024-07-09"
user_175,session_93606,Unknown,Email,spring_sale,Desktop,"2025-08-23",ES,Port Karen,53,Male,Unknown,2,"137.14 sec","10%",1.0,"11.98","2024-09-24","2026-09-29"
user_412,session_40968,william152@outlook.com,Social media,retargeting,Mobile,"2025-10-05",US,Kimberlymouth,53,Unknown,Unknown,5,"24.79 sec","0.41%",0.0,"","2024-08-05","2025-10-04"
user_193,session_22987,dylan13@yahoo.com,Referral,spring_sale,Desktop,"2025-05-28",ES,Lindafort,21,Female,VIP,1,"135.67 sec","48%",1.0,"13.54","2023-10-06","2024-05-24"
user_37,session_86931,jason178@hotmail.com,Referral,spring_sale,Tablet,"2025-08-31",FR,Lake Darlene,52,Unknown,Returning,1,"490.19 sec","42%",0.0,"47.76€","2023-03-07","2024-12-15"
user_98,session_49251,sheryl88@gmail.com,Email,summer_sale,Mobile,"2025-03-20",UK,Hudsonstad,57,Female,New,4,"164.5 sec","38%",0.0,"7.61","2024-10-08",""
user_416,session_64239,Unknown,Social media,spring_sale,Tablet,"2025-10-05",ES,Hollandmouth,45,Male,VIP,3,"300.16 sec","53%",2.0,"15.87€","2023-02-26","2023-12-20"
user_396,session_65435,paul160@outlook.com,Social media,newsletter,Tablet,"2025-05-06",US,Suzanneburgh,31,Female,Returning,6,"169.2 sec","80%",1.0,"4.75","2024-04-01","2025-11-06"
user_223,session_77952,alyssa169@gmail.com,Direct,summer_sale,Tablet,"2025-05-12",ES,Reynoldstown,23,Other,Unknown,2,"44.7 sec","0.7%",0.0,"7.01","2024-07-19","2026-07-29"
user_161,session_24201,teresa49@gmail.com,Social media,newsletter,Desktop,"2025-04-21",IT,Graceside,58,Male,New,3,"275.81 sec","21%",1.0,"29.62","2022-10-18","2024-07-24"
user_442,session_89471,mark193@hotmail.com,Google,Unknown,Unknown,"2025-08-07",FR,Kimberlyport,25,Female,VIP,2,"318.6 sec","33%",1.0,"59.01","2023-09-08","2025-03-10"
user_487,session_93269,Unknown,Google,newsletter,Mobile,"2025-09-29",ES,Ayersmouth,52,Female,New,3,"788.17 sec","85%",0.0,"20.48","2024-07-08","2026-08-03"
user_301,session_54350,tracey198@yahoo.com,Google,Unknown,Mobile,"2025-07-25",ES,New Robert,39,Unknown,New,4,"15.98 sec","29%",1.0,"6.0","2023-05-01",""
